PLC-Gesamt,RL100-Code,RL100-Langname,RL100-Kurzname,Typ-Kurz,Betriebszustand,Datum-Ab
DE14421,AA,Hamburg-Altona,Hamburg-Altona,Bf,Betrieb,20200401
DE14423,AA  G,Hamburg-Altona Gbf,Hmb-Altona Gbf,Bft,ehemals,20251001
DE10046,AABG,Agathenburg,Agathenburg,Hp,Betrieb,20200401
DE10031,AACW,Achterwehr,Achterwehr,Hp,Betrieb,20141214
DE10040,AADF,Adendorf,Adendorf,Bf,Betrieb,20081214
DE30013,AAE,Brest-Aspe,Brest-Aspe,NE-Hp,Betrieb,20081214
DE10308,AAG,Ascheberg (Holst),Ascheberg/Holst,Bf,Betrieb,20081214
DE60485,AAGD,Arnis-Grödersby,Arnis-Grödersby,NE-Hp,a.B.,20090401
DE10369,AAH,Aumühle,Aumühle,Bf,Betrieb,20201001
DE10371,AAH A,Aumühle Abzw,Aumühle Abzw,Bft Abzw,Betrieb,20200401
DE10069,AAHG,Ahrensburg-Gartenholz,Ahrensburg-Gh,Hp,Betrieb,20200401
DE10067,AAHN,Ahrensburg Nord,Ahrensburg Nord,Awanst,Betrieb,20200401
DE10066,AAHR,Ahrensburg,Ahrensburg,Bf,Betrieb,20200401
,AAHRW,Ahrensburg West (Bus),Ahrensburg W Bus,Bush,Betrieb,20150324
DE14376,AAI,Hamburg Airport,Hamburg Airport,Bf,Betrieb,20201001
DE10087,AAL,Albersdorf,Albersdorf,Hp,Betrieb,20161211
DE10127,AALG,Alsen DB-Grenze,Alsen DB-Gr,Gp,Betrieb,20200401
DE14420,AALH,Hamburg-Allermöhe               (S-Bahn),Allermöhe,Hp,Betrieb,20201001
DE14419,AALM,Hamburg-Allermöhe,Allermöhe Abzw,Abzw,Betrieb,20230215
DE15254,AALS,Itzehoe Alsen,Alsen,Bft,Betrieb,20241215
DE14378,AAMP,Hamburg Anckelmannsplatz,Anckelmannsplatz,Üst,Betrieb,20200401
DE10370,AAMS,Aumühle (S-Bahn),Aumühle (S-Bahn),Bf,a.B.,20201001
DE24954,AAN,Hamburg-Altona (neu),Hmb-Altona (neu),Bft,Betrieb,20241215
DE25718,AAN K,Hamburg-Altona Kleingärten,Hmb-A/Kl.-Gart.,Bft,Planung,20241201
DE25718,AAN K,Hamburg-Altona Kleingärten,Hmb-A/Kl.-Gart.,Bft,Betrieb,20251214
DE25719,AAN S,Hamburg-Altona Stellingen,Hmb-A/Stellingen,Bft,Planung,20241201
DE25719,AAN S,Hamburg-Altona Stellingen,Hmb-A/Stellingen,Bft,Betrieb,20251214
